Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2005,1,2,3,4,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",117.28,118.97,115.73,128.46
2007,1,2,3,4,32211,30198,"Las Vegas, NV","Pittsburgh, PA",164.26,193.1,197.8,197.04
1996,1,2,3,4,30194,33256,"Dallas/Fort Worth, TX","Mission/McAllen/Edinburg, TX",117.84,116.57,114.31,123.02
2002,1,2,3,4,33195,34027,"Tampa, FL (Metropolitan Area)","West Palm Beach/Palm Beach, FL",71.8,72.41,73.57,75.27
1997,1,2,3,4,33198,32457,"Kansas City, MO","San Francisco, CA (Metropolitan Area)",122.78,125.76,133.51,151.01
2005,1,2,3,4,30977,33316,"Chicago, IL","Omaha, NE",108.27,104.03,101.85,98.32
2001,1,2,3,4,32211,30466,"Las Vegas, NV","Phoenix, AZ",80.02,79.42,78.5,79.63
2000,1,2,3,4,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",239.3,242.53,236.34,245.48
2005,1,2,3,4,30194,34614,"Dallas/Fort Worth, TX","Salt Lake City, UT",219.13,233.2,237.43,225.1
2006,1,2,3,4,30397,31066,"Atlanta, GA (Metropolitan Area)","Columbus, OH",302.07,290.74,275.17,248.49
1999,1,2,3,4,30397,31504,"Atlanta, GA (Metropolitan Area)","Valparaiso, FL",106.69,106.1,109.78,104.89
2010,1,2,3,4,33244,32467,"Memphis, TN","Miami, FL (Metropolitan Area)",237.26,212.28,204.69,206.34
1997,1,2,3,4,31267,31454,"Dayton, OH","Orlando, FL",144.78,101.11,96.7,112.01
2008,1,2,3,4,30466,34614,"Phoenix, AZ","Salt Lake City, UT",136.86,127.53,141.44,148.9
1996,1,2,3,4,33495,30852,"New Orleans, LA","Washington, DC (Metropolitan Area)",166.63,154.99,152.66,150.27
1998,1,2,3,4,30647,31454,"Cleveland, OH (Metropolitan Area)","Orlando, FL",138.17,110.23,106.28,112.46
2006,1,2,3,4,30423,32896,"Austin, TX","Lubbock, TX",106.13,106.94,104.67,100.84
2012,1,2,3,4,30325,31454,"Denver, CO","Orlando, FL",221.22,222.07,196.35,201.23
1999,1,2,3,4,33044,30466,"Louisville, KY","Phoenix, AZ",161.56,157.9,167.3,154.8
1999,1,2,3,4,30140,30559,"Albuquerque, NM","Seattle, WA",158.4,150.69,150.83,150.66
1997,1,2,3,4,30257,30397,"Albany, NY","Atlanta, GA (Metropolitan Area)",217.05,188.88,188.33,207.82
1997,1,2,3,4,30325,31454,"Denver, CO","Orlando, FL",195.01,218.06,208.42,195.94
2001,1,2,3,4,32575,33244,"Los Angeles, CA (Metropolitan Area)","Memphis, TN",310.59,266.73,273.72,282.42
2011,1,2,3,4,31295,31650,"Detroit, MI","Minneapolis/St. Paul, MN",309.43,323.64,309.85,278.17
2000,1,2,3,4,33495,30466,"New Orleans, LA","Phoenix, AZ",177.43,180.09,186.27,171.11
1998,1,2,3,4,30721,34057,"Boston, MA (Metropolitan Area)","Portland, OR",418.56,354.96,303.59,302.86
1996,1,2,3,4,32575,33570,"Los Angeles, CA (Metropolitan Area)","San Diego, CA",83.45,86.0,89.87,81.04
2007,1,2,3,4,30721,33667,"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",140.45,143.68,144.03,148.97
1996,1,2,3,4,31453,30466,"Houston, TX","Phoenix, AZ",158.94,151.07,153.98,134.25
2013,1,2,3,4,30647,33570,"Cleveland, OH (Metropolitan Area)","San Diego, CA",274.39,304.64,309.11,278.64
2011,1,2,3,4,34570,30559,"Reno, NV","Seattle, WA",149.59,161.16,160.12,153.41
2005,1,2,3,4,31454,35096,"Orlando, FL","Syracuse, NY",136.82,137.08,124.88,132.43
1996,1,2,3,4,33192,34614,"Sacramento, CA","Salt Lake City, UT",86.74,83.76,78.8,78.94
